アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10008771,"抽選 (落選)",2020002330,"2021年4月25日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002330,"2021年4月25日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002331,"2021年4月25日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002331,"2021年4月25日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002332,"2021年4月29日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002332,"2021年4月29日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002333,"2021年4月29日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002333,"2021年4月29日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10001685,"抽選 (落選)",2020002334,"2021年4月3日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002335,"2021年4月3日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002335,"2021年4月3日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002336,"2021年4月4日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002336,"2021年4月4日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002337,"2021年4月4日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002337,"2021年4月4日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002338,"2021年4月10日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002338,"2021年4月10日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002339,"2021年4月10日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002339,"2021年4月10日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (当選未確定)",2020002340,"2021年4月11日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年3月1日 (2020004402)"
10001685,"抽選 (当選未確定)",2020002340,"2021年4月11日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年3月1日 (2020004402)"
10001685,"抽選 (落選)",2020002341,"2021年4月11日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002341,"2021年4月11日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (当選未確定)",2020002342,"2021年4月17日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年3月1日 (2020004413)"
10001685,"抽選 (当選未確定)",2020002342,"2021年4月17日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年3月1日 (2020004413)"
10001685,"抽選 (落選)",2020002343,"2021年4月17日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002343,"2021年4月17日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002344,"2021年4月18日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10001685,"抽選 (落選)",2020002345,"2021年4月18日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
